title,location,responsibilities,ntile10,ntile25,ntile50,ntile75,ntile90
Data Scientist,"Rochester, NY",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101202,113543,127097,140411,152532
Data Scientist,"Grand Rapids, MI",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99561,111701,125035,138133,150058
Data Scientist,"Huntsville, AL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,97117,108960,121967,134743,146375
Data Scientist,"Salt Lake City, UT",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,97560,109456,122523,135357,147042
Data Scientist,"Frisco, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100613,112882,126357,139593,151644
Data Scientist,"Yonkers, NY",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,118333,132763,148611,164179,178352
Data Scientist,"Amarillo, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,94140,105620,118228,130612,141888
Data Scientist,"Glendale, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,116108,130266,145816,161091,174997
Data Scientist,"Huntington Beach, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114467,128425,143756,158814,172525
Data Scientist,"Mckinney, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101173,113509,127060,140369,152487
Data Scientist,"Montgomery, AL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,92067,103293,115624,127735,138762
Data Scientist,"Augusta, GA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96070,107785,120652,133290,144797
Data Scientist,"Aurora, IL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,108003,121172,135637,149845,162781
Data Scientist,"Akron, OH",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,98565,110584,123785,136751,148557
Data Scientist,"Little Rock, AR",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,95005,106589,119313,131812,143191
Data Scientist,"Tempe, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101429,113797,127382,140725,152874
Data Scientist,"Columbus, GA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,93367,104752,117257,129540,140723
Data Scientist,"Overland Park, KS",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100423,112669,126118,139329,151357
Data Scientist,"Grand Prairie, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101775,114185,127816,141205,153395
Data Scientist,"Tallahassee, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,93113,104467,116937,129187,140339
Data Scientist,"Cape Coral, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,95463,107103,119888,132447,143881
Data Scientist,"Mobile, AL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,95031,106619,119347,131849,143231
Data Scientist,"Knoxville, TN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,94192,105677,118292,130684,141965
Data Scientist,"Shreveport, LA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,94387,105896,118537,130954,142259
Data Scientist,"Worcester, MA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,108102,121284,135762,149984,162931
Data Scientist,"Ontario, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109663,123035,137722,152149,165283
Data Scientist,"Vancouver, WA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,106308,119271,133509,147494,160227
Data Scientist,"Sioux Falls, SD",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,92159,103397,115740,127863,138902
Data Scientist,"Chattanooga, TN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,92558,103845,116241,128418,139504
Data Scientist,"Brownsville, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,90444,101473,113586,125485,136318
Data Scientist,"Fort Lauderdale, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99694,111851,125203,138318,150259
Data Scientist,"Providence, RI",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,107792,120936,135373,149553,162464
Data Scientist,"Newport News, VA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96173,107900,120781,133433,144952
Data Scientist,"Rancho Cucamonga, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109290,122617,137254,151632,164722
Data Scientist,"Santa Rosa, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,112106,125776,140790,155538,168966
Data Scientist,"Peoria, AZ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101209,113550,127105,140419,152541
Data Scientist,"Oceanside, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,110947,124476,139335,153930,167219
Data Scientist,"Elk Grove, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,110802,124313,139153,153730,167001
Data Scientist,"Salem, OR",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101088,113415,126954,140252,152360
Data Scientist,"Pembroke Pines, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99047,111125,124391,137421,149284
Data Scientist,"Eugene, OR",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100115,112323,125732,138902,150893
Data Scientist,"Garden Grove, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114724,128713,144078,159171,172911
Data Scientist,"Cary, NC",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99345,111459,124765,137834,149733
Data Scientist,"Fort Collins, CO",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99941,112127,125512,138660,150630
Data Scientist,"Corona, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,109663,123035,137722,152149,165283
Data Scientist,"Springfield, MO",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96994,108822,121812,134572,146189
Data Scientist,"Jackson, MS",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,91888,103092,115399,127487,138493
Data Scientist,"Alexandria, VA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114282,128218,143524,158558,172246
Data Scientist,"Hayward, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,121961,136833,153168,169212,183820
Data Scientist,"Clarksville, TN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,93247,104617,117106,129373,140542
Data Scientist,"Lancaster, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,115492,129575,145043,160236,174069
Data Scientist,"Salinas, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,113742,127612,142846,157809,171432
Data Scientist,"Palmdale, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,115338,129402,144849,160022,173837
Data Scientist,"Hollywood, FL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,99694,111851,125203,138318,150259
Data Scientist,"Springfield, MA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,106511,119499,133764,147776,160533
Data Scientist,"Macon, GA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,95785,107465,120293,132894,144367
Data Scientist,"Kansas City, KS",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,100782,113072,126570,139828,151899
Data Scientist,"Sunnyvale, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,128840,144550,161806,178755,194187
Data Scientist,"Pomona, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,114477,128437,143769,158829,172540
Data Scientist,"Killeen, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,93138,104495,116970,129222,140378
Data Scientist,"Escondido, CA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,110172,123606,138361,152855,166051
Data Scientist,"Pasadena, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,104844,117628,131670,145463,158020
Data Scientist,"Naperville, IL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,106953,119995,134320,148390,161200
Data Scientist,"Bellevue, WA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,112250,125937,140971,155738,169182
Data Scientist,"Joliet, IL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,106210,119161,133386,147358,160080
Data Scientist,"Murfreesboro, TN",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,94688,106235,118916,131373,142714
Data Scientist,"Midland, TX",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,91646,102821,115095,127151,138128
Data Scientist,"Rockford, IL",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,101101,113429,126969,140270,152379
Data Scientist,"Paterson, NJ",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,118368,132802,148655,164227,178404
Data Scientist,"Savannah, GA",Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.,96466,108228,121148,133839,145393
